Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF 50V,C_0402_1005Metric,9.5,20.5,180,top
C2,2.2uF 50V,C_0402_1005Metric,27.3,19,-90,top
C3,2.2uF 50V,C_0402_1005Metric,9,14.98,-90,top
C4,2.2uF 50V,C_0402_1005Metric,13,20.5,180,top
C5,22uF 25v,C_1206_3216Metric,5,20.25,0,top
C6,22uF 25v,C_1206_3216Metric,5,22.5,0,top
C7,22uF 25v,C_1206_3216Metric,5,24.75,0,top
C8,2.2uF 50V,C_0402_1005Metric,5.4,8,90,top
C9,2.2uF 50V,C_0402_1005Metric,24,12,45,top
D1,B5819W,D_SOD-123,24,24.5,180,top
D2,Red LED,LED_0603_1608Metric,25,29,0,top
D3,B5819W,D_SOD-123,10.5,17.5,0,top
Q1,IRF8313PBF,SOIC-8_3.9x4.9mm_P1.27mm,20.5,7.5,45,top
Q2,IRF8313PBF,SOIC-8_3.9x4.9mm_P1.27mm,11,5.5,135,top
R1,1k,R_0402_1005Metric,22.5,27,-90,top
R2,10R,R_0402_1005Metric,4.3,10,90,top
R3,10R,R_0402_1005Metric,3,10,90,top
R4,1k,R_0402_1005Metric,25,27.5,0,top
R5,10R,R_0402_1005Metric,26,14,-90,top
R6,10R,R_0402_1005Metric,18.5,2.5,0,top
U1,ATtiny13A-SS,SOIC-8_3.9x4.9mm_P1.27mm,18,19.5,90,top
U2,ADP3110A,SOIC-8_3.9x4.9mm_P1.27mm,24,19,-90,top
U3,HT7550-2,SOT-23-5,13,23.5,90,top
U4,ADP3110A,SOIC-8_3.9x4.9mm_P1.27mm,5,15,-90,top
U5,HT75C0-2,SOT-23-5,9.5,23.5,90,top
