"Designator","Mid X","Mid Y","Layer","Rotation"
"L1","160","-80","Top","90"
"C3","164","-72","Top","180"
"C1","191","-85","Top","180"
"D1","113","-89.5","Top","0"
"D101","157","-71.5","Top","0"
"C2","168","-99","Top","-90"
"C101","103","-103","Top","180"
"C103","98","-72","Top","180"
"C201","147","-103","Top","180"
"L101","94","-80","Top","90"
"D201","91","-89.5","Top","0"
"C301","125","-85","Top","180"
"C401","191","-103","Top","180"
"L201","182","-98","Top","90"
"L301","182","-80","Top","90"
"U1","171","-74","Top","360"
"C501","169","-103","Top","180"
"C102","146","-99","Top","-90"
"U101","127","-74","Top","360"
"C202","102","-81","Top","-90"
"C302","146","-81","Top","-90"
"C402","102","-99","Top","-90"
"C203","142","-72","Top","180"
"L401","138","-80","Top","90"
"C601","125","-103","Top","180"
"C303","120","-90","Top","180"
"D301","113","-71.5","Top","0"
"C403","98","-90","Top","180"
"D401","179","-89.5","Top","0"
"C502","124","-99","Top","-90"
"C701","103","-85","Top","180"
"C503","186","-90","Top","180"
"U201","193","-74","Top","360"
"D501","157","-89.5","Top","0"
"U301","127","-92","Top","360"
"U401","105","-92","Top","360"
"U501","105","-74","Top","360"
"C603","142","-90","Top","180"
"U601","149","-92","Top","360"
"U701","193","-92","Top","360"
"L501","138","-98","Top","90"
"C602","190","-99","Top","-90"
"L601","116","-80","Top","90"
"L701","116","-98","Top","90"
"C702","124","-81","Top","-90"
"C801","169","-85","Top","180"
"D601","135","-71.5","Top","0"
"U801","149","-74","Top","360"
"L801","160","-98","Top","90"
"U901","171","-92","Top","360"
"C802","168","-81","Top","-90"
"D701","91","-71.5","Top","0"
"C703","120","-72","Top","180"
"D801","179","-71.5","Top","0"
"C901","147","-85","Top","180"
"C902","190","-81","Top","-90"
"C803","164","-90","Top","180"
"L901","94","-98","Top","90"
"C903","186","-72","Top","180"
"D901","135","-89.5","Top","0"
